# CSP logarithmically sampled (velscale=50.0)
# Wavelength, SSP_logage_04.00_z_0.0018, SSP_logage_07.50_z_0.0018, SSP_logage_09.00_z_0.0018, SSP_logage_04.00_z_0.0178, SSP_logage_07.50_z_0.0178, SSP_logage_09.00_z_0.0178
4.037198279841330077e+03 1.728556491434574127e-02 3.874046960845589638e-03 5.594444810412824154e-04 1.692848838865756989e-02 3.531727707013487816e-03 4.472189466468989849e-04
4.037871668189985485e+03 1.728547923266887665e-02 3.875700291246175766e-03 5.592952365987002850e-04 1.692445576190948486e-02 3.533020149916410446e-03 4.471707507036626339e-04
4.038545168857094723e+03 1.727766916155815125e-02 3.872151719406247139e-03 5.574138485826551914e-04 1.690544746816158295e-02 3.529096022248268127e-03 4.457119794096797705e-04
4.039218781861391562e+03 1.725091971457004547e-02 3.858235431835055351e-03 5.519149126484990120e-04 1.685691438615322113e-02 3.514270531013607979e-03 4.415019939187914133e-04
4.039892507221613869e+03 1.723045669496059418e-02 3.849550848826766014e-03 5.495470250025391579e-04 1.681983470916748047e-02 3.504146123304963112e-03 4.396802396513521671e-04
4.040566344956501780e+03 1.720182225108146667e-02 3.838455304503440857e-03 5.472234333865344524e-04 1.676798239350318909e-02 3.490635426715016365e-03 4.378840094432234764e-04
4.041240295084799982e+03 1.718099415302276611e-02 3.831278067082166672e-03 5.499352118931710720e-04 1.673964224755764008e-02 3.482944099232554436e-03 4.401726473588496447e-04
4.041914357625253615e+03 1.716415956616401672e-02 3.823948791250586510e-03 5.499448161572217941e-04 1.672224886715412140e-02 3.476206446066498756e-03 4.401742189656943083e-04
4.042588532596614186e+03 1.714172214269638062e-02 3.813647665083408356e-03 5.491972551681101322e-04 1.670098677277565002e-02 3.467044560238718987e-03 4.395322757773101330e-04
4.043262820017633658e+03 1.709266565740108490e-02 3.789334790781140327e-03 5.359253264032304287e-04 1.665817759931087494e-02 3.443618305027484894e-03 4.274663224350661039e-04
4.043937219907068538e+03 1.707484014332294464e-02 3.778605721890926361e-03 5.266522057354450226e-04 1.665659248828887939e-02 3.434270620346069336e-03 4.187436716165393591e-04
4.044611732283677611e+03 1.705772057175636292e-02 3.767359303310513496e-03 5.155338440090417862e-04 1.666201651096343994e-02 3.424877766519784927e-03 4.082096857018768787e-04
4.045286357166223752e+03 1.707331836223602295e-02 3.772055264562368393e-03 5.148630589246749878e-04 1.670591160655021667e-02 3.433516016229987144e-03 4.060774808749556541e-04
4.045961094573473019e+03 1.709184795618057251e-02 3.784474683925509453e-03 5.226433277130126953e-04 1.672774553298950195e-02 3.447029506787657738e-03 4.126143176108598709e-04
4.046635944524193292e+03 1.711359992623329163e-02 3.799648024141788483e-03 5.325209349393844604e-04 1.675074733793735504e-02 3.463175613433122635e-03 4.210748884361237288e-04
4.047310907037156539e+03 1.711837016046047211e-02 3.819972742348909378e-03 5.442398251034319401e-04 1.674555614590644836e-02 3.480586688965559006e-03 4.325252375565469265e-04
4.047985982131137462e+03 1.711216010153293610e-02 3.826085012406110764e-03 5.454535130411386490e-04 1.674050278961658478e-02 3.483888460323214531e-03 4.340404993854463100e-04
4.048661169824914850e+03 1.710519939661026001e-02 3.831821028143167496e-03 5.462499102577567101e-04 1.673524081707000732e-02 3.486699890345335007e-03 4.351765383034944534e-04
4.049336470137269316e+03 1.710333861410617828e-02 3.838950069621205330e-03 5.474409554153680801e-04 1.674634963274002075e-02 3.491474781185388565e-03 4.366504144854843616e-04
4.050011883086985108e+03 1.709502004086971283e-02 3.836668794974684715e-03 5.472248303703963757e-04 1.674014516174793243e-02 3.489557420834898949e-03 4.366833309177309275e-04
4.050687408692850113e+03 1.708601042628288269e-02 3.834109753370285034e-03 5.468251765705645084e-04 1.673252694308757782e-02 3.487234003841876984e-03 4.365282075013965368e-04
4.051363046973654491e+03 1.705346256494522095e-02 3.823250299319624901e-03 5.417607026174664497e-04 1.668562926352024078e-02 3.473591292276978493e-03 4.317967686802148819e-04
4.052038797948192041e+03 1.702813617885112762e-02 3.814113326370716095e-03 5.379223730415105820e-04 1.664148271083831787e-02 3.462038235738873482e-03 4.280801804270595312e-04
4.052714661635260200e+03 1.700446754693984985e-02 3.805150976404547691e-03 5.345368990674614906e-04 1.660033687949180603e-02 3.451419295743107796e-03 4.247939505148679018e-04
4.053390638053658222e+03 1.696231961250305176e-02 3.784923348575830460e-03 5.305355880409479141e-04 1.652817055583000183e-02 3.434298327192664146e-03 4.208233440294861794e-04
4.054066727222189456e+03 1.694922149181365967e-02 3.777174046263098717e-03 5.307539831846952438e-04 1.650813035666942596e-02 3.431935794651508331e-03 4.207172314636409283e-04
4.054742929159659980e+03 1.694100722670555115e-02 3.771726274862885475e-03 5.311465938575565815e-04 1.649567484855651855e-02 3.430679207667708397e-03 4.208215686958283186e-04
4.055419243884879961e+03 1.694514974951744080e-02 3.769866190850734711e-03 5.329548730514943600e-04 1.650285907089710236e-02 3.433082019910216331e-03 4.221101989969611168e-04
4.056095671416661389e+03 1.696164719760417938e-02 3.767369315028190613e-03 5.314883892424404621e-04 1.652953214943408966e-02 3.430298296734690666e-03 4.207937163300812244e-04
4.056772211773819890e+03 1.697549223899841309e-02 3.766268724575638771e-03 5.302759818732738495e-04 1.655218750238418579e-02 3.428854979574680328e-03 4.197275266051292419e-04
4.057448864975174274e+03 1.699916459619998932e-02 3.767780726775527000e-03 5.282648489810526371e-04 1.659185439348220825e-02 3.429433098062872887e-03 4.180359537713229656e-04
4.058125631039546533e+03 1.699410006403923035e-02 3.776709781959652901e-03 5.315637681633234024e-04 1.657404191792011261e-02 3.436330240219831467e-03 4.211284685879945755e-04
4.058802509985761844e+03 1.698156632483005524e-02 3.782669780775904655e-03 5.346741527318954468e-04 1.654447801411151886e-02 3.440300934016704559e-03 4.240355920046567917e-04
4.059479501832648566e+03 1.694273576140403748e-02 3.789762966334819794e-03 5.407481221482157707e-04 1.646313816308975220e-02 3.443373134359717369e-03 4.296966071706265211e-04
4.060156606599038241e+03 1.690439879894256592e-02 3.786899847909808159e-03 5.410779849626123905e-04 1.641267351806163788e-02 3.435777034610509872e-03 4.299103748053312302e-04
4.060833824303764231e+03 1.688046008348464966e-02 3.779612248763442039e-03 5.380671937018632889e-04 1.639318652451038361e-02 3.425914328545331955e-03 4.271481593605130911e-04
4.061511154965665810e+03 1.685163378715515137e-02 3.761360188946127892e-03 5.288994289003312588e-04 1.639042794704437256e-02 3.405215917155146599e-03 4.188329330645501614e-04
4.062188598603582705e+03 1.682647690176963806e-02 3.735269187018275261e-03 5.161077133379876614e-04 1.639685034751892090e-02 3.381886286661028862e-03 4.074955650139600039e-04
4.062866155236359191e+03 1.681906171143054962e-02 3.725455142557621002e-03 5.120233981870114803e-04 1.640771888196468353e-02 3.374386345967650414e-03 4.038314509671181440e-04
4.063543824882842273e+03 1.681848242878913879e-02 3.719955449923872948e-03 5.110038910061120987e-04 1.642856374382972717e-02 3.372409380972385406e-03 4.028259427286684513e-04
4.064221607561882138e+03 1.682835072278976440e-02 3.730170195922255516e-03 5.204599001444876194e-04 1.645604521036148071e-02 3.386329859495162964e-03 4.117471398785710335e-04
